,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
6045,0,0,1,1,36,1,2,1,0,2,2,0,2,0,0,1,0,97.35,3457.9
4625,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,24.05,1709.15
5224,0,0,1,0,8,1,0,1,0,2,2,0,2,2,0,0,2,101.15,842.9
9082,1,0,1,0,8,1,0,1,2,0,0,0,0,0,0,0,2,75.0,632.95
8513,1,1,0,0,12,1,2,1,0,0,2,0,2,2,0,1,2,99.45,1200.15
4119,1,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.55,122.9
9884,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,3,50.4,206.6
7118,0,0,1,0,37,1,2,1,0,0,2,0,2,2,0,1,2,99.5,3762.0
7558,0,0,0,0,9,0,1,0,2,0,2,2,2,2,0,0,3,58.5,539.85
411,0,0,1,0,46,1,2,2,1,1,1,1,1,1,1,1,0,24.45,1066.15
613,1,0,0,0,50,1,2,0,0,0,2,2,0,2,2,0,0,69.5,3418.2
5938,0,0,1,1,33,1,2,2,1,1,1,1,1,1,2,1,3,24.5,740.3
5597,1,0,0,1,15,1,0,0,0,0,2,2,0,0,1,0,1,55.2,864.55
1430,0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45
5317,1,0,1,1,15,1,0,2,1,1,1,1,1,1,0,1,2,20.0,288.05
8011,1,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,83.85,790.15
4295,1,0,0,0,51,1,0,1,2,0,0,0,2,0,1,0,3,86.35,4267.15
9351,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.1,20.1
6802,0,0,1,0,64,0,1,0,2,0,2,2,0,2,2,0,2,47.85,3147.5
1417,0,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,1,113.05,7869.05
5095,0,0,1,1,28,1,0,1,2,0,0,0,0,2,1,1,0,82.85,2320.8
604,1,0,1,0,72,1,2,0,2,0,2,2,2,2,2,0,1,86.65,6094.25
1272,0,1,1,0,71,1,0,1,2,2,2,2,2,0,2,1,2,99.4,7168.25
6173,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,88.7,6501.35
6835,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,1,3,79.55,79.55
7040,1,1,1,0,70,1,2,1,0,2,2,0,2,2,0,1,2,102.95,7101.5
4421,0,0,1,1,70,1,2,0,2,2,2,2,2,0,2,0,0,79.7,5743.3
247,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3
4641,1,0,1,0,72,1,2,1,2,2,0,2,2,2,2,1,1,108.95,7875.0
1982,0,0,1,1,25,1,0,1,0,2,2,0,2,0,0,1,0,89.15,2257.75
3231,1,0,0,0,16,1,2,0,0,2,0,0,0,0,0,0,2,55.3,875.35
5723,1,1,0,0,19,1,0,1,2,0,0,0,0,2,0,1,2,87.3,1637.3
199,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75
9472,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.2,146.05
485,1,0,1,1,72,1,2,1,0,0,0,0,0,2,2,1,1,84.5,6130.85
6522,0,0,0,0,25,1,0,0,0,2,0,2,0,2,0,1,0,65.8,1679.65
3853,1,0,0,1,19,0,1,0,0,0,0,0,0,0,0,1,1,25.35,566.1
455,0,0,0,0,24,1,2,1,0,2,2,0,2,2,0,1,2,104.15,2494.65
10117,1,0,0,0,4,1,2,1,0,2,0,0,0,0,0,0,2,78.45,330.05
9114,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5
7387,0,0,1,1,70,1,2,1,2,2,2,2,0,0,2,0,0,93.9,6579.05
1721,1,0,1,0,30,1,2,0,0,0,0,0,0,0,0,0,2,49.9,1441.95
5538,0,0,0,0,3,1,0,1,0,0,0,0,2,2,0,1,2,89.45,240.45
10079,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.05,79.05
8447,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,35.75,35.75
6181,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.5,80.5
8292,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.4,45.4
6884,1,0,1,1,54,0,1,0,0,0,2,2,0,2,2,0,1,46.0,2424.05
862,1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,1,94.65,2104.55
2094,0,0,1,0,40,1,2,1,0,0,0,2,0,0,0,1,1,78.85,3126.85
947,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,44.95,85.15
9523,1,0,0,0,35,1,2,1,0,0,0,0,0,0,0,0,1,75.35,2636.05
1444,0,1,0,0,6,1,0,2,1,1,1,1,1,1,0,0,0,19.5,106.8
1280,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,3,19.85,1188.25
5739,0,0,0,0,21,1,2,1,0,2,0,0,2,2,0,1,1,99.85,1992.55
4510,1,1,0,0,8,1,2,1,0,0,2,0,0,0,0,1,2,81.25,585.95
8144,0,0,0,0,56,1,0,1,0,2,0,0,0,0,0,1,2,73.85,4092.85
8816,1,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,2,47.15,223.15
3482,1,0,0,0,9,1,2,0,0,0,0,0,0,2,0,0,3,59.9,542.4
2302,0,0,1,1,9,1,0,0,0,2,0,2,2,0,1,1,3,65.6,593.3
2004,1,0,1,1,70,1,2,0,2,2,2,2,2,0,2,1,0,79.25,5731.85
5491,1,0,1,1,60,1,0,0,2,2,2,0,0,0,2,0,0,60.5,3694.45
8986,1,0,0,0,18,0,1,0,0,2,2,0,0,0,0,1,1,33.5,600.0
1005,1,0,1,1,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55,3204.65
4113,1,0,1,1,26,1,0,1,0,0,0,0,0,2,1,0,0,78.95,2034.25
9293,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.8,78.8
6670,0,0,0,1,48,1,0,1,0,2,2,2,2,0,2,1,3,95.5,4627.85
6180,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,91.95,6614.9
2132,1,0,1,1,12,1,2,2,1,1,1,1,1,1,2,1,0,25.4,313.0
5239,0,0,1,0,12,1,0,2,1,1,1,1,1,1,2,1,2,20.05,264.55
2057,0,0,0,0,66,1,2,2,1,1,1,1,1,1,2,1,1,25.15,1683.6
3284,0,0,0,1,41,1,2,1,0,2,0,0,2,0,0,1,0,88.5,3645.05
229,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4107.25
3328,0,0,0,0,41,1,2,1,0,2,2,0,2,2,0,1,2,106.3,4443.45
3412,1,0,1,0,54,1,2,1,2,2,2,0,2,2,0,0,2,109.55,6118.95
6426,1,0,1,1,52,0,1,0,0,2,2,2,2,0,2,0,3,50.2,2554.0
7453,1,0,0,0,36,1,2,1,0,0,0,0,0,2,0,1,2,84.75,3050.15
9127,1,0,1,1,39,1,0,0,2,0,2,2,2,2,1,0,1,80.0,3182.95
8650,1,0,0,0,40,1,2,1,0,2,2,0,2,2,0,1,1,104.5,4036.85
209,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1
9959,1,0,1,0,1,1,0,1,0,0,0,2,2,0,0,1,2,84.8,84.8
6654,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2,54.65,54.65
5378,1,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,2,30.5,118.4
7626,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6
8095,0,0,0,0,6,1,0,1,0,0,0,0,2,2,0,0,2,89.3,577.6
5309,0,0,1,1,32,1,0,0,2,2,2,2,0,2,2,0,3,73.6,2316.85
4148,0,1,0,0,72,1,2,1,2,2,2,2,2,2,2,1,1,117.35,8436.25
1728,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.05,19.05
4469,1,0,1,1,19,1,0,0,2,0,0,0,0,0,1,1,0,48.95,955.6
337,0,0,0,0,68,1,2,0,2,2,2,2,2,2,2,1,2,88.15,6148.45
8907,0,1,0,0,41,1,2,1,2,2,2,0,2,2,0,1,2,113.2,4689.5
2650,0,0,0,1,4,1,2,1,0,2,0,0,2,0,0,0,3,89.6,365.65
2826,0,1,1,0,12,1,2,1,0,2,2,0,2,0,0,1,2,98.1,1060.2
7766,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,81.95,81.95
4280,0,1,1,0,66,1,2,1,0,0,2,2,2,2,1,1,1,105.95,6975.25
1226,1,0,1,1,47,1,2,1,0,2,0,0,2,0,0,0,2,87.2,4017.45
4843,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.4,204.7
4626,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,0,18.75,53.15
6792,1,0,1,1,43,1,2,1,2,0,2,2,0,0,1,1,1,91.25,4013.8
9058,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95
4466,1,0,0,0,57,0,1,0,0,0,2,2,2,2,2,0,1,53.35,3090.05
2111,1,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,2,54.35,54.35
8469,1,0,0,0,5,1,2,1,0,2,2,0,2,2,0,0,3,104.1,541.9
7130,0,1,1,0,32,1,2,1,0,0,0,0,2,2,0,1,2,93.2,2931.0
4411,0,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,1,21.05,139.75
1017,0,0,1,1,39,1,0,0,2,0,0,0,0,0,0,0,1,51.05,2066.0
4071,1,0,1,1,22,1,0,0,2,0,2,2,2,0,1,1,0,67.5,1544.05
3387,1,0,1,0,62,1,2,1,0,0,2,2,2,2,2,1,0,107.6,6912.7
6499,0,0,1,1,42,1,2,1,0,0,0,0,2,2,0,1,2,94.2,4186.3
1928,1,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,3,19.7,415.9
350,1,0,1,1,37,1,2,0,2,0,2,2,0,0,2,1,1,62.8,2278.75
8627,1,0,0,0,16,1,2,1,0,0,0,2,0,2,0,1,1,89.05,1448.6
2201,1,1,1,0,57,1,2,1,0,2,2,0,0,2,0,1,0,95.25,5427.05
4486,1,0,0,0,3,1,0,1,0,2,0,0,0,2,0,0,2,84.3,235.05
1934,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,21.05,21.05
7401,1,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,76.05,231.8
8972,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0
5470,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,2,69.05,651.5
4309,1,0,0,0,69,1,2,0,2,2,2,2,2,2,2,0,3,90.65,6322.1
564,1,0,1,1,71,1,0,0,2,0,2,2,0,2,2,1,1,70.85,4973.4
1582,1,0,1,1,48,1,2,2,1,1,1,1,1,1,2,0,0,26.3,1245.05
4100,0,0,1,0,72,1,2,1,2,2,0,0,0,2,2,1,1,94.45,6921.7
2175,1,1,1,0,71,1,0,1,0,2,2,2,0,2,2,1,1,95.5,6707.15
8121,0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1,307.4
2540,0,0,1,1,62,1,0,0,2,0,2,2,2,0,1,1,0,70.75,4263.45
7135,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45
2707,1,0,0,0,8,0,1,0,2,0,0,0,0,0,0,0,3,29.35,216.45
2228,1,0,0,0,54,1,0,0,2,2,0,2,2,0,0,1,3,69.9,3883.3
1115,1,0,1,1,70,0,1,0,2,0,2,2,2,2,2,0,0,59.5,4144.8
2996,1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,3,20.4,181.8
4877,1,1,1,0,72,1,2,1,0,2,2,2,2,2,2,1,0,111.65,8022.85
6779,0,0,0,0,67,1,2,2,1,1,1,1,1,1,2,1,0,25.6,1790.35
5646,1,0,0,0,65,1,2,2,1,1,1,1,1,1,2,1,0,25.1,1725.0
5012,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,1,3,19.85,810.45
5924,1,1,0,0,3,1,2,1,0,2,2,0,2,2,0,1,2,105.0,294.45
8008,1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,214.75
821,1,0,0,0,5,1,0,0,0,0,2,2,2,0,0,1,1,63.95,318.1
9159,0,1,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.3,89.3
2272,1,0,0,0,65,1,2,1,0,2,2,2,2,2,0,1,2,109.15,6941.2
7228,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55
81,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35
1323,1,0,1,0,59,1,2,1,0,0,2,0,2,2,1,1,0,99.5,5961.1
5667,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.75,19.75
5502,1,0,1,0,70,1,2,0,2,0,0,2,2,2,2,1,1,76.95,5289.8
1614,1,0,0,0,69,1,2,0,2,2,2,2,0,2,2,1,1,81.5,5553.25
2697,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,44.0,44.0
831,0,0,1,1,37,1,2,1,0,2,0,0,2,0,0,1,2,88.8,3340.55
4271,0,0,1,0,48,1,0,1,0,2,2,0,2,2,1,1,2,97.05,4692.95
5532,0,0,0,0,61,1,2,1,0,0,2,2,2,2,2,1,2,106.6,6428.4
2420,1,0,0,0,26,1,0,2,1,1,1,1,1,1,0,1,2,20.3,511.25
4787,0,0,1,0,53,1,0,2,1,1,1,1,1,1,1,0,0,20.8,1021.8
9187,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,2,75.9,75.9
2908,1,0,0,0,52,0,1,0,2,2,2,2,2,2,2,0,1,63.9,3334.95
1649,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,18.8,18.8
4368,1,0,0,0,66,1,2,1,2,2,2,2,2,2,1,1,0,114.3,7383.7
3918,0,0,1,0,37,1,2,0,0,2,0,2,0,2,1,0,3,72.1,2658.4
3101,0,0,0,0,50,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1023.95
4938,1,0,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,81.0,340.85
7209,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.1,20.1
7655,1,0,1,1,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55,3204.65
7388,0,0,1,1,67,1,2,1,2,0,0,2,0,2,1,1,1,94.35,6341.45
7072,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.1,45.1
2689,1,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,1,19.65,169.75
6338,1,0,1,0,15,1,0,1,0,0,0,0,0,0,0,1,0,68.6,1108.6
6077,1,0,1,0,61,1,2,0,2,0,2,0,0,2,2,1,3,69.9,4226.7
749,0,0,0,0,27,1,0,0,2,2,0,0,0,0,0,1,3,56.7,1652.95
5662,0,0,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.3,1554.9
2373,0,0,1,0,35,1,0,1,0,0,0,0,0,0,0,1,2,70.3,2416.55
2442,1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,1,2,74.9,490.55
5032,1,0,1,1,20,1,2,1,0,2,0,2,2,0,0,0,3,96.8,1826.7
7669,0,0,1,0,3,1,2,1,0,0,0,0,2,2,0,1,2,95.2,292.85
2758,1,0,1,1,64,1,0,1,2,2,0,0,0,0,0,0,2,81.05,5135.35
9615,0,0,0,0,16,1,0,0,2,0,0,0,0,0,0,1,2,50.15,762.25
6518,1,0,1,1,6,1,0,0,0,2,2,0,0,0,0,1,3,55.3,324.25
8639,0,0,1,1,11,1,0,2,1,1,1,1,1,1,0,1,3,19.25,180.3
4836,0,0,0,1,37,1,0,2,1,1,1,1,1,1,1,0,0,20.3,755.4
8630,1,0,1,1,19,1,2,1,0,0,0,0,0,2,0,1,2,83.65,1465.75
4983,0,0,0,0,58,1,0,1,2,2,2,0,2,2,1,1,2,106.45,6145.85
8641,0,0,1,0,63,1,2,1,0,2,2,0,2,2,1,1,2,107.5,6873.75
5689,1,0,1,1,21,1,2,1,0,2,2,0,2,2,0,0,2,104.4,2157.95
9873,0,1,0,0,4,1,0,1,0,2,2,0,2,2,0,1,1,99.8,442.85
9783,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6
10164,0,0,0,0,13,1,2,1,0,2,2,0,0,0,0,1,2,84.45,1058.6
10256,1,0,1,0,42,1,2,1,0,0,2,2,2,2,0,1,0,106.15,4512.7
1139,1,0,1,0,18,1,2,0,0,2,0,0,0,0,0,0,1,56.8,1074.65
8177,0,0,0,0,4,1,2,1,0,0,0,0,2,0,0,1,2,85.65,321.65
2231,1,1,0,0,5,1,0,1,0,0,0,0,0,0,0,1,3,71.45,371.6
2164,0,0,1,0,62,1,0,0,2,0,2,2,2,2,2,0,3,81.0,4985.9
8294,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65
6870,0,0,1,1,32,0,1,0,2,2,0,0,0,0,0,1,2,35.15,1051.05
2777,1,0,1,1,38,1,2,0,2,0,2,2,2,2,2,1,0,85.4,3297.0
9450,1,0,0,0,24,1,2,1,0,2,0,0,2,0,0,1,1,90.55,2282.55
9709,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95
1570,1,0,0,0,66,1,0,1,0,2,2,0,2,2,0,0,2,99.5,6710.5
172,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75
7677,1,0,0,0,46,0,1,0,0,2,0,0,0,0,0,0,0,30.3,1380.1
2087,1,0,1,0,72,1,2,0,2,2,2,2,0,2,2,0,1,79.55,5810.9
6568,1,0,1,0,70,1,2,0,0,2,2,2,2,0,2,0,0,72.95,5265.55
4894,0,0,0,0,24,1,0,0,2,0,0,2,0,0,0,0,1,56.35,1381.2
8643,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,78.95,78.95
9775,0,0,0,0,54,1,2,1,0,0,0,2,2,2,0,1,2,100.1,5440.9
8675,0,0,1,1,6,1,0,0,2,2,0,0,0,0,0,0,1,55.9,365.35
6768,1,0,0,1,29,0,1,0,2,2,2,2,0,0,0,1,3,45.0,1242.45
5254,1,1,0,0,55,0,1,0,2,2,0,0,2,0,0,1,2,44.85,2479.05
1832,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.05,20.05
5719,0,0,0,0,13,1,2,1,0,2,2,2,0,0,0,0,2,89.4,1132.35
3582,1,0,1,0,9,1,2,0,0,2,2,0,0,2,0,1,1,69.05,653.95
9426,0,1,1,0,13,1,0,1,0,0,0,0,0,0,0,1,2,70.15,916.75
3772,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,50.4,137.25
9814,0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,93.85,93.85
4110,1,0,1,0,63,1,0,1,2,0,2,0,2,2,2,0,1,99.7,6330.4
5431,0,0,1,1,19,1,0,0,0,0,2,0,0,0,0,1,0,49.6,962.9
834,1,0,1,1,62,1,0,0,2,0,2,2,0,2,1,0,1,71.4,4487.3
2486,0,0,1,0,42,1,0,2,1,1,1,1,1,1,0,0,1,20.35,869.9
7316,0,0,0,0,2,1,0,1,0,2,0,0,2,0,0,1,0,87.15,183.75
9305,0,0,0,0,30,1,0,1,0,0,0,2,2,0,0,0,2,85.15,2555.9
4865,0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,3,19.3,144.95
6301,0,0,0,0,60,0,1,0,2,0,2,0,0,2,1,1,2,44.45,2773.9
4978,0,0,0,0,12,1,2,1,0,0,0,2,0,0,0,1,1,79.55,958.25
7100,0,1,1,1,40,1,2,1,0,0,0,0,2,2,0,1,1,94.55,3640.45
6226,1,1,1,1,22,0,1,0,2,0,0,0,0,2,0,0,3,40.05,880.2
65,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1
6575,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1070.25
7781,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35
2024,1,0,1,0,67,1,0,1,2,2,0,0,0,2,1,1,1,90.6,6056.15
8255,0,0,1,1,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65
354,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1
9579,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.3,45.3
8622,0,1,1,0,66,1,2,1,0,0,2,2,2,2,1,1,1,105.95,6975.25
8829,1,0,1,1,49,1,2,1,0,0,2,0,2,2,0,1,2,99.8,4872.45
1808,1,0,0,0,1,1,0,0,0,0,2,2,2,2,0,1,2,75.5,75.5
7229,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1
5129,1,1,0,0,55,1,2,1,2,2,2,2,2,2,0,1,2,116.5,6382.55
4417,1,0,1,1,14,1,2,0,2,2,0,0,0,2,0,0,3,69.2,944.65
8387,1,1,0,0,36,1,2,1,2,0,0,0,2,0,0,1,2,90.85,3186.7
8426,0,1,1,1,31,1,0,1,0,0,2,2,2,2,0,1,2,98.9,2911.3
4629,1,1,1,0,71,1,0,0,2,2,0,2,2,0,1,1,0,71.0,5012.1
472,1,0,1,0,9,1,0,0,0,0,2,0,2,2,0,1,3,70.05,564.4
7113,0,0,0,0,22,1,2,1,0,0,0,2,2,0,0,1,2,90.0,1993.8
2889,0,0,0,0,48,1,0,0,2,0,2,2,0,0,1,1,1,60.35,2896.4
10186,0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,161.5
5729,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.6,20.6
9427,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.85,69.85
868,0,0,1,0,72,1,2,1,2,0,2,2,2,0,2,1,0,98.2,7015.9
7038,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25
7808,1,0,0,1,4,1,2,1,0,0,0,2,0,0,0,0,1,80.8,332.45
1506,0,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,0,19.25,1372.9
8337,0,0,1,0,54,1,2,0,0,0,0,0,2,2,1,1,1,70.15,3715.65
4851,1,1,1,0,63,1,2,1,2,2,2,0,2,2,2,0,1,108.5,6991.9
6435,1,0,0,1,31,1,2,0,0,2,0,2,2,2,1,1,3,79.45,2587.7
8473,1,1,1,0,16,1,0,1,0,2,0,0,0,0,0,1,1,74.3,1178.25
2770,1,1,1,0,53,1,2,0,2,0,0,2,0,0,1,1,2,60.05,3229.65
9633,0,0,1,1,48,1,2,1,2,2,0,0,2,2,1,1,1,103.25,5037.55
9660,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,70.25
5638,0,0,1,0,46,1,0,0,0,2,0,0,2,2,0,1,1,69.1,3168.0
4216,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,3,70.3,220.4
1075,0,1,0,0,59,1,2,1,0,2,0,0,0,0,2,1,1,79.2,4590.35
3017,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,19.95,38.15
4273,1,0,1,1,64,1,0,2,1,1,1,1,1,1,2,1,0,19.7,1274.05
7292,1,0,0,0,7,1,2,1,0,0,2,0,2,0,0,1,2,90.45,593.45
4619,1,0,0,0,60,1,2,1,2,2,2,2,2,2,1,1,1,116.6,7049.5
9768,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,1,1,74.1,228.0
5106,0,1,0,0,50,1,2,1,2,2,0,0,0,0,0,1,2,83.4,4113.7
4181,0,1,0,0,28,1,2,1,0,0,2,2,2,2,0,1,2,103.3,2890.65
9077,0,0,1,0,30,1,2,1,0,0,0,0,0,2,0,1,2,85.0,2624.25
6328,0,0,1,1,55,1,2,1,2,0,0,0,2,2,1,0,3,100.9,5448.6
7675,0,0,1,1,8,1,0,1,0,0,2,0,2,2,0,1,2,94.2,777.3
73,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6
6008,1,0,0,0,5,1,0,0,0,0,2,2,0,0,0,0,2,56.15,291.45
3848,1,0,1,1,53,1,0,0,0,2,0,2,2,0,0,0,1,65.0,3363.8
7931,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,70.3
7562,0,1,1,0,42,1,0,1,2,0,0,0,0,0,0,1,1,74.15,3229.4
4704,1,0,1,1,50,1,2,1,2,2,2,0,2,2,1,1,2,108.25,5431.4
1101,0,0,1,0,9,1,0,1,0,0,0,0,0,2,0,1,2,79.75,769.1
8693,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15
9846,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25
313,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.35,341.6
4001,0,0,1,1,51,0,1,0,0,0,2,2,2,2,1,1,2,56.15,2898.95
5079,0,0,1,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.35,41.85
